beta 	 Energy 
0	0	0	2
0.01	-0.0599979375292485	-0.00666644965226219	9
0.02	-0.0899932972875093	-0.0116656762786382	11
0.03	-0.119982132413621	-0.0166638154663229	11
0.04	-0.149961276889736	-0.0216603395456748	11
0.05	-0.179928450900328	-0.0266548685474399	12
0.06	-0.20988024600134	-0.0316468343976085	12
0.07	-0.239813533670538	-0.0366357156758073	12
0.08	-0.269725132012372	-0.0416209820661136	12
0.09	-0.299612120341662	-0.0466021467876618	12
0.1	-0.329471457031271	-0.0515787029025963	13
0.11	-0.359299703034556	-0.0565500772364769	14
0.12	-0.389093491683474	-0.0615157086779613	14
0.13	-0.41884940397283	-0.0664750273928523	14
0.14	-0.448563952689704	-0.0714274521789982	14
0.15	-0.478233577140985	-0.0763723895875447	14
0.16	-0.507854871168366	-0.0813092719254431	14
0.17	-0.537424281047724	-0.0862375069053358	14
0.18	-0.5669378170762	-0.0911564295767487	14
0.19	-0.596391631291689	-0.0960653986126623	14
0	-0.625781830659545	-0.100963765173972	14
